tag,count
gym_uniform,39665
striped_bow,39449
black_bodysuit,39319
upskirt,39264
torn_pantyhose,39050
collared_dress,38956
school_bag,38932
hat_ornament,38711
hairpin,38512
lolita_fashion,38165
hoop_earrings,38144
jeans,38006
sun_hat,37901
blue_one-piece_swimsuit,37893
black_serafuku,37510
watch,37037
buruma,36994
white_leotard,36683
circlet,36610
fur_collar,36528
brown_belt,36474
pink_jacket,36441
brown_hat,36289
nontraditional_miko,36079
mouth_mask,35863
layered_sleeves,35841
competition_swimsuit,35662
partially_fingerless_gloves,35325
under-rim_eyewear,35026
garter_belt,34907
panties_under_pantyhose,34731
lace-up_boots,34708
stud_earrings,34661
black_collar,34605
off-shoulder_dress,34551
red_cape,34497
pajamas,34450
thighband_pantyhose,34321
green_hat,33692
unworn_hat,33593
shawl,33497
shrug_(clothing),33417
lab_coat,33222
striped_bikini,32949
double-breasted,32945
mini_hat,32940
fishnet_pantyhose,32776
brown_dress,32451
red_hairband,32309
fur-trimmed_jacket,32166
grey_pants,32073
black_cape,32041
back_bow,31899
blue_gloves,31872
blue_kimono,31860
handbag,31588
sarashi,31581
visor_cap,31373
military_hat,30982
purple_ribbon,30949
white_sweater,30905
print_bikini,30737
yukata,30713
front-tie_bikini_top,30637
criss-cross_halter,30569
center_frills,30406
cropped_shirt,30294
hat_flower,30192
brown_shirt,30167
yellow_ascot,30150
brown_thighhighs,29918
tabard,29904
bandana,29891
nurse_cap,29877
animal_hood,29844
straw_hat,29771
yellow_jacket,29751
green_ribbon,29738
frilled_shirt,29731
beanie,29561
blue_panties,29557
off-shoulder_shirt,29547
sportswear,29476
hair_tie,29411
black_one-piece_swimsuit,29100
nun,29066
lapels,29002
bespectacled,28960
panties_aside,28919
pinafore_dress,28419
red_vest,28417
white_scarf,28401
white_one-piece_swimsuit,28347
black_sweater,28262
wedding_dress,28201
ear_covers,27675
blue_shoes,27584
orange_bow,27390
blue_leotard,27336
pleated_dress,27313
overalls,27204
bloomers,27159
brown_pants,27058
sailor_shirt,27018
tail_ornament,26805
adjusting_eyewear,26803
tress_ribbon,26732
pink_bikini,26686
anklet,26389
striped,26160
white_capelet,25969
two-tone_dress,25920
red_thighhighs,25792
highleg_panties,25788
suspender_skirt,25785
print_kimono,25776
mecha_pilot_suit,25609
headpiece,25523
grey_dress,25464
black_kimono,25283
gakuran,25225
underbust,25019
pink_bra,24922
purple_thighhighs,24903
newsboy_cap,24883
panties_around_one_leg,24857
zipper_pull_tab,24795
purple_jacket,24747
folding_fan,24673
crotch_seam,24672
wrist_scrunchie,24649
bandeau,24345
blue_hairband,24344
wristwatch,24332
pink_hat,24284
arm_warmers,24113
microskirt,24106
yellow_neckerchief,23939
purple_gloves,23873
hand_on_headwear,23590
bikini_under_clothes,23542
tabi,23399
tube_top,23383
half_gloves,23376
black_hoodie,23376
toeless_legwear,23284
gyaru,23205
highleg_one-piece_swimsuit,23183
blue_thighhighs,23136
cow_print,23122
winter_clothes,23014
bodystocking,22909
geta,22817
red_boots,22751
blue_neckerchief,22721
japanese_armor,22556
bikini_armor,22474
sleeve_cuffs,22421
print_shirt,22411
ankle_boots,22386
armored_boots,22383
miko,22318
haori,22270
sailor_hat,22233
petticoat,22204
white_choker,22178
blue_cape,22168
white_cape,22154
blue_vest,22143
red_kimono,22142
witch,22128
cheerleader,21971
mini_crown,21911
